reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x10016280	0x1001632d	string	0x10016260	^_[]Ð blocks=Basic Latin,Latin-1 Supplement
0x100162d7	0x1001632d	string	0x10016260	^_[]Ð blocks=Basic Latin,Latin-1 Supplement
0x1001650a	0x1001650e	string	0x100164b0	^_[]Ð blocks=Basic Latin,Latin-1 Supplement
0x100178d3	0x100179a1	string	0x100178c0	^_[]Ð blocks=Basic Latin,Latin-1 Supplement
0x10017a1f	0x10017a23	string	0x100179b0	^_[]Ð blocks=Basic Latin,Latin-1 Supplement
0x100183d7	0x10018434	string	0x100182e0	jjjj
0x100187cb	0x10018817	string	0x100187a0	^_[]Ð blocks=Basic Latin,Latin-1 Supplement
0x100187fe	0x10018817	string	0x100187a0	^_[]Ð blocks=Basic Latin,Latin-1 Supplement
0x1001951f	0x1001961e	string	0x100194f0	1ɋE\b blocks=Basic Latin,Latin Extended-B
0x1001976d	0x1001979e	string	0x10019740	^_[]Ð blocks=Basic Latin,Latin-1 Supplement
0x10019771	0x1001979e	string	0x10019740	^_[]Ð blocks=Basic Latin,Latin-1 Supplement
0x10019777	0x1001979e	string	0x10019740	^_[]Ð blocks=Basic Latin,Latin-1 Supplement
0x10019797	0x1001979e	string	0x10019740	^_[]Ð blocks=Basic Latin,Latin-1 Supplement
0x10019d14	0x10019d22	string	0x10019c30	^_[]Ð blocks=Basic Latin,Latin-1 Supplement
0x1001a84e	0x10025740	string	0x1001a790	yM\t_p4O
0x1001a91c	0x10026218	import	0x1001a8c0	KERNEL32.dll.lstrcmpW
0x1001a9fe	0x100261d4	import	0x1001a9e0	KERNEL32.dll.GetCurrentProcessId
0x1001aa15	0x100261d0	import	0x1001a9e0	KERNEL32.dll.GetCurrentProcess
0x1001aa1d	0x10026204	import	0x1001a9e0	KERNEL32.dll.SetEvent
0x1001aa29	0x100261d8	import	0x1001a9e0	KERNEL32.dll.GetLastError
0x1001aa69	0x10026204	import	0x1001a9e0	KERNEL32.dll.SetEvent
0x1001aa6f	0x100261d4	import	0x1001a9e0	KERNEL32.dll.GetCurrentProcessId
0x1001aad4	0x10026204	import	0x1001aab0	KERNEL32.dll.SetEvent
0x1001aae9	0x10026204	import	0x1001aab0	KERNEL32.dll.SetEvent
0x1001aafe	0x10026204	import	0x1001aab0	KERNEL32.dll.SetEvent
0x1001ab18	0x10026210	import	0x1001aab0	KERNEL32.dll.WaitForSingleObject
0x1001ab54	0x10026204	import	0x1001aab0	KERNEL32.dll.SetEvent
0x1001ab5a	0x100261d8	import	0x1001aab0	KERNEL32.dll.GetLastError
0x1001ab62	0x10026294	import	0x1001aab0	USER32.dll.LoadIconA
0x1001ab71	0x10026204	import	0x1001aab0	KERNEL32.dll.SetEvent
0x1001ab79	0x10026254	import	0x1001aab0	USER32.dll.GetDlgItem
0x1001ac0c	0x100261c4	import	0x1001ab90	KERNEL32.dll.ExitProcess
0x1001ac17	0x100261ec	import	0x1001ab90	KERNEL32.dll.GetVersion
0x1001ac4a	0x100261d8	import	0x1001ac30	KERNEL32.dll.GetLastError
0x1001acac	0x10026210	import	0x1001ac30	KERNEL32.dll.WaitForSingleObject
0x1001acb5	0x100261d8	import	0x1001ac30	KERNEL32.dll.GetLastError
0x1001acf0	0x100262ac	import	0x1001ac30	USER32.dll.ReleaseCapture
0x1001ad10	0x100261d8	import	0x1001ac30	KERNEL32.dll.GetLastError
0x1001ad8d	0x10026210	import	0x1001ad80	KERNEL32.dll.WaitForSingleObject
0x1001ad98	0x100261d8	import	0x1001ad80	KERNEL32.dll.GetLastError
0x1001ada2	0x100261d4	import	0x1001ad80	KERNEL32.dll.GetCurrentProcessId
0x1001adc5	0x100261d0	import	0x1001ad80	KERNEL32.dll.GetCurrentProcess
0x1001adff	0x10026210	import	0x1001ad80	KERNEL32.dll.WaitForSingleObject
0x1001ae1b	0x100261d4	import	0x1001ad80	KERNEL32.dll.GetCurrentProcessId
0x1001ae65	0x100261d4	import	0x1001ad80	KERNEL32.dll.GetCurrentProcessId
0x1001ae8c	0x100262b0	import	0x1001ad80	USER32.dll.ReleaseDC
0x1001ae92	0x100261d4	import	0x1001ad80	KERNEL32.dll.GetCurrentProcessId
0x1001afc7	0x100261f8	import	0x1001af80	KERNEL32.dll.HeapFree
0x1001b040	0x1001b075	string	0x1001b010	1\vM\b;M\ft
0x1001b047	0x1001b075	string	0x1001b010	1\vM\b;M\ft
0x1001b04b	0x1001b075	string	0x1001b010	1\vM\b;M\ft
0x1001b04f	0x1001b075	string	0x1001b010	1\vM\b;M\ft
0x1001b057	0x10026208	import	0x1001b010	KERNEL32.dll.SetFilePointer
0x1001b063	0x10026314	import	0x1001b010	GDI32.dll.LineTo
0x1001b06d	0x10026310	import	0x1001b010	GDI32.dll.GetRgnBox
0x1001b0b1	0x100261d4	import	0x1001b0a0	KERNEL32.dll.GetCurrentProcessId
0x1001b0b7	0x100261d8	import	0x1001b0a0	KERNEL32.dll.GetLastError
0x1001b0c1	0x10026210	import	0x1001b0a0	KERNEL32.dll.WaitForSingleObject
0x1001b0e7	0x100261d0	import	0x1001b0a0	KERNEL32.dll.GetCurrentProcess
0x1001b105	0x10026204	import	0x1001b0a0	KERNEL32.dll.SetEvent
0x1001b122	0x100261d0	import	0x1001b0a0	KERNEL32.dll.GetCurrentProcess
0x1001b14d	0x10026204	import	0x1001b0a0	KERNEL32.dll.SetEvent
0x1001b167	0x100261d8	import	0x1001b0a0	KERNEL32.dll.GetLastError
0x1001b16f	0x100261d0	import	0x1001b0a0	KERNEL32.dll.GetCurrentProcess
0x1001b199	0x100261d0	import	0x1001b0a0	KERNEL32.dll.GetCurrentProcess
0x1001b1a1	0x10026204	import	0x1001b0a0	KERNEL32.dll.SetEvent
0x1001b1c9	0x10026214	import	0x1001b0a0	KERNEL32.dll.WriteFile
0x1001b2b6	0x100261dc	import	0x1001b260	KERNEL32.dll.GetLocalTime
0x1001b2c5	0x10026244	import	0x1001b260	USER32.dll.EnableWindow
0x1001b393	0x100261fc	import	0x1001b300	KERNEL32.dll.InitializeCriticalSection
0x1001b48a	0x10026204	import	0x1001b430	KERNEL32.dll.SetEvent
0x1001b492	0x100261d0	import	0x1001b430	KERNEL32.dll.GetCurrentProcess
0x1001b49a	0x100261d8	import	0x1001b430	KERNEL32.dll.GetLastError
0x1001b4a4	0x10026210	import	0x1001b430	KERNEL32.dll.WaitForSingleObject
0x1001b4d3	0x10026210	import	0x1001b430	KERNEL32.dll.WaitForSingleObject
0x1001b5b1	0x100261f8	import	0x1001b560	KERNEL32.dll.HeapFree
0x1001b615	0x10026204	import	0x1001b5f0	KERNEL32.dll.SetEvent
0x1001b626	0x100261d4	import	0x1001b5f0	KERNEL32.dll.GetCurrentProcessId
0x1001b638	0x10026210	import	0x1001b5f0	KERNEL32.dll.WaitForSingleObject
0x1001b666	0x100261d0	import	0x1001b5f0	KERNEL32.dll.GetCurrentProcess
0x1001b6c2	0x100261d4	import	0x1001b5f0	KERNEL32.dll.GetCurrentProcessId
0x1001b70a	0x100262b8	import	0x1001b5f0	USER32.dll.SetClassLongW
0x1001b714	0x10026234	import	0x1001b5f0	USER32.dll.DefWindowProcW
0x1001b7ca	0x100262a8	import	0x1001b750	USER32.dll.RegisterClassExW
0x1001b7d7	0x100261c0	import	0x1001b750	KERNEL32.dll.EnterCriticalSection
0x1001b826	0x10026300	import	0x1001b750	GDI32.dll.ExtCreatePen
0x1001b846	0x100262e8	import	0x1001b750	GDI32.dll.CreateCompatibleBitmap
0x1001ba1b	0x100261d4	import	0x1001b9e0	KERNEL32.dll.GetCurrentProcessId
0x1001ba27	0x10026210	import	0x1001b9e0	KERNEL32.dll.WaitForSingleObject
0x1001ba32	0x100261d8	import	0x1001b9e0	KERNEL32.dll.GetLastError
0x1001ba41	0x10026204	import	0x1001b9e0	KERNEL32.dll.SetEvent
0x1001ba47	0x100261d4	import	0x1001b9e0	KERNEL32.dll.GetCurrentProcessId
0x1001ba67	0x10026204	import	0x1001b9e0	KERNEL32.dll.SetEvent
0x1001ba77	0x100261d4	import	0x1001b9e0	KERNEL32.dll.GetCurrentProcessId
0x1001ba7d	0x100261d8	import	0x1001b9e0	KERNEL32.dll.GetLastError
0x1001babc	0x100261d0	import	0x1001b9e0	KERNEL32.dll.GetCurrentProcess
0x1001bc39	0x100261d8	import	0x1001bc30	KERNEL32.dll.GetLastError
0x1001bc63	0x10026210	import	0x1001bc30	KERNEL32.dll.WaitForSingleObject
0x1001bc7b	0x100261d0	import	0x1001bc30	KERNEL32.dll.GetCurrentProcess
0x1001bc90	0x10026204	import	0x1001bc30	KERNEL32.dll.SetEvent
0x1001bc98	0x100261d8	import	0x1001bc30	KERNEL32.dll.GetLastError
0x1001bcae	0x10026210	import	0x1001bc30	KERNEL32.dll.WaitForSingleObject
0x1001bcb4	0x100261d0	import	0x1001bc30	KERNEL32.dll.GetCurrentProcess
0x1001bcbf	0x100261d4	import	0x1001bc30	KERNEL32.dll.GetCurrentProcessId
0x1001bcc9	0x100261d8	import	0x1001bc30	KERNEL32.dll.GetLastError
0x1001bce8	0x10026210	import	0x1001bc30	KERNEL32.dll.WaitForSingleObject
0x1001bcee	0x100261d4	import	0x1001bc30	KERNEL32.dll.GetCurrentProcessId
0x1001bd04	0x100261d8	import	0x1001bc30	KERNEL32.dll.GetLastError
0x1001bd57	0x100261d0	import	0x1001bd50	KERNEL32.dll.GetCurrentProcess
0x1001bd6e	0x100261d0	import	0x1001bd50	KERNEL32.dll.GetCurrentProcess
0x1001bd79	0x10026204	import	0x1001bd50	KERNEL32.dll.SetEvent
0x1001bdf7	0x10026204	import	0x1001bd50	KERNEL32.dll.SetEvent
0x1001be1c	0x10026204	import	0x1001be10	KERNEL32.dll.SetEvent
0x1001be40	0x10026210	import	0x1001be10	KERNEL32.dll.WaitForSingleObject
0x1001be57	0x100261d4	import	0x1001be10	KERNEL32.dll.GetCurrentProcessId
0x1001be8a	0x10026204	import	0x1001be10	KERNEL32.dll.SetEvent
0x1001be9e	0x100261d0	import	0x1001be10	KERNEL32.dll.GetCurrentProcess
0x1001c110	0x10026204	import	0x1001c0f0	KERNEL32.dll.SetEvent
0x1001c13a	0x10026204	import	0x1001c0f0	KERNEL32.dll.SetEvent
0x1001c145	0x100261d0	import	0x1001c0f0	KERNEL32.dll.GetCurrentProcess
0x1001c155	0x10026210	import	0x1001c0f0	KERNEL32.dll.WaitForSingleObject
0x1001c180	0x100261d0	import	0x1001c0f0	KERNEL32.dll.GetCurrentProcess
0x1001c1a5	0x100261d4	import	0x1001c0f0	KERNEL32.dll.GetCurrentProcessId
0x1001c1bf	0x100261d0	import	0x1001c0f0	KERNEL32.dll.GetCurrentProcess
0x1001c200	0x10026210	import	0x1001c0f0	KERNEL32.dll.WaitForSingleObject
0x1001c299	0x100262f8	import	0x1001c220	GDI32.dll.DeleteDC
0x1001c2ca	0x100261d4	import	0x1001c2c0	KERNEL32.dll.GetCurrentProcessId
0x1001c2d2	0x10026204	import	0x1001c2c0	KERNEL32.dll.SetEvent
0x1001c339	0x100261bc	import	0x1001c2c0	KERNEL32.dll.DeleteCriticalSection
0x1001c375	0x1002629c	import	0x1001c2c0	USER32.dll.MapWindowPoints
0x1001c37b	0x1002622c	import	0x1001c2c0	USER32.dll.CreateMenu
0x1001c381	0x100261d8	import	0x1001c2c0	KERNEL32.dll.GetLastError
0x1001c39f	0x100262c0	import	0x1001c2c0	USER32.dll.SetDlgItemTextW
0x1001c3e1	0x10026204	import	0x1001c3c0	KERNEL32.dll.SetEvent
0x1001c3f9	0x100261d8	import	0x1001c3c0	KERNEL32.dll.GetLastError
0x1001c42b	0x100261d0	import	0x1001c3c0	KERNEL32.dll.GetCurrentProcess
0x1001c455	0x100261d4	import	0x1001c3c0	KERNEL32.dll.GetCurrentProcessId
0x1001c487	0x100261d8	import	0x1001c3c0	KERNEL32.dll.GetLastError
0x1001c491	0x100261d0	import	0x1001c3c0	KERNEL32.dll.GetCurrentProcess
0x1001c4ab	0x100262ec	import	0x1001c3c0	GDI32.dll.CreateCompatibleDC
0x1001c500	0x10026210	import	0x1001c4d0	KERNEL32.dll.WaitForSingleObject
0x1001c506	0x100261d8	import	0x1001c4d0	KERNEL32.dll.GetLastError
0x1001c53e	0x100261d0	import	0x1001c4d0	KERNEL32.dll.GetCurrentProcess
0x1001c574	0x100261d8	import	0x1001c4d0	KERNEL32.dll.GetLastError
0x1001c646	0x100261d4	import	0x1001c620	KERNEL32.dll.GetCurrentProcessId
0x1001c672	0x100261d0	import	0x1001c620	KERNEL32.dll.GetCurrentProcess
0x1001c67a	0x10026204	import	0x1001c620	KERNEL32.dll.SetEvent
0x1001c68e	0x100261d8	import	0x1001c620	KERNEL32.dll.GetLastError
0x1001c6a5	0x100261d0	import	0x1001c620	KERNEL32.dll.GetCurrentProcess
0x1001c6ab	0x100261d8	import	0x1001c620	KERNEL32.dll.GetLastError
0x1001c6c8	0x10026204	import	0x1001c620	KERNEL32.dll.SetEvent
0x1001c6df	0x100261d8	import	0x1001c620	KERNEL32.dll.GetLastError
0x1001c6e7	0x10026204	import	0x1001c620	KERNEL32.dll.SetEvent
0x1001c6f4	0x100261d4	import	0x1001c620	KERNEL32.dll.GetCurrentProcessId
0x1001c76c	0x10026288	import	0x1001c620	USER32.dll.InvalidateRgn
0x1001c797	0x10026204	import	0x1001c620	KERNEL32.dll.SetEvent
0x1001c880	0x10026208	import	0x1001c7e0	KERNEL32.dll.SetFilePointer
0x1001c9ba	0x10026260	import	0x1001c980	USER32.dll.GetSubMenu
0x1001ca12	0x100261d0	import	0x1001ca00	KERNEL32.dll.GetCurrentProcess
0x1001ca52	0x10026210	import	0x1001ca00	KERNEL32.dll.WaitForSingleObject
0x1001ca58	0x100261d0	import	0x1001ca00	KERNEL32.dll.GetCurrentProcess
0x1001ca62	0x100261d4	import	0x1001ca00	KERNEL32.dll.GetCurrentProcessId
0x1001ca98	0x10026204	import	0x1001ca00	KERNEL32.dll.SetEvent
0x1001cacc	0x10026210	import	0x1001ca00	KERNEL32.dll.WaitForSingleObject
0x1001cd49	0x1001cd74	string	0x1001cd00	^_[]Ð blocks=Basic Latin,Latin-1 Supplement
0x1001cd52	0x1001cd74	string	0x1001cd00	^_[]Ð blocks=Basic Latin,Latin-1 Supplement
0x1001cd5c	0x100262f4	import	0x1001cd00	GDI32.dll.CreateSolidBrush
0x1001cd62	0x100261d8	import	0x1001cd00	KERNEL32.dll.GetLastError
0x1001cd6b	0x100262e8	import	0x1001cd00	GDI32.dll.CreateCompatibleBitmap
0x1001cdd4	0x10026314	import	0x1001cd80	GDI32.dll.LineTo
0x1001cde0	0x100262cc	import	0x1001cd80	USER32.dll.SetTimer
0x1001ce39	0x100261d8	import	0x1001ce30	KERNEL32.dll.GetLastError
0x1001ce43	0x10026210	import	0x1001ce30	KERNEL32.dll.WaitForSingleObject
0x1001ce51	0x100261d4	import	0x1001ce30	KERNEL32.dll.GetCurrentProcessId
0x1001ce78	0x100261d0	import	0x1001ce30	KERNEL32.dll.GetCurrentProcess
0x1001ce8b	0x10026204	import	0x1001ce30	KERNEL32.dll.SetEvent
0x1001cf1c	0x10026204	import	0x1001cea0	KERNEL32.dll.SetEvent
0x1001d050	0x100261d4	import	0x1001d040	KERNEL32.dll.GetCurrentProcessId
0x1001d062	0x10026210	import	0x1001d040	KERNEL32.dll.WaitForSingleObject
0x1001d079	0x100261d0	import	0x1001d040	KERNEL32.dll.GetCurrentProcess
0x1001d09f	0x100261d8	import	0x1001d040	KERNEL32.dll.GetLastError
0x1001d0a5	0x100261d4	import	0x1001d040	KERNEL32.dll.GetCurrentProcessId
0x1001d0ca	0x100261d4	import	0x1001d040	KERNEL32.dll.GetCurrentProcessId
0x1001d0e1	0x10026210	import	0x1001d040	KERNEL32.dll.WaitForSingleObject
0x1001d101	0x100261d0	import	0x1001d0f0	KERNEL32.dll.GetCurrentProcess
0x1001d11f	0x10026210	import	0x1001d0f0	KERNEL32.dll.WaitForSingleObject
0x1001d150	0x100261d0	import	0x1001d0f0	KERNEL32.dll.GetCurrentProcess
0x1001d17b	0x100261d8	import	0x1001d0f0	KERNEL32.dll.GetLastError
0x1001d1a4	0x10026204	import	0x1001d0f0	KERNEL32.dll.SetEvent
0x1001d2f0	0x10026210	import	0x1001d2d0	KERNEL32.dll.WaitForSingleObject
0x1001d30f	0x1001d33a	string	0x1001d2d0	^_[]ÐU blocks=Basic Latin,Latin-1 Supplement
0x1001d320	0x1001d33a	string	0x1001d2d0	^_[]ÐU blocks=Basic Latin,Latin-1 Supplement
0x1001d327	0x1001d33a	string	0x1001d2d0	^_[]ÐU blocks=Basic Latin,Latin-1 Supplement
0x1001d32b	0x1001d33a	string	0x1001d2d0	^_[]ÐU blocks=Basic Latin,Latin-1 Supplement
0x1001d32f	0x1001d33a	string	0x1001d2d0	^_[]ÐU blocks=Basic Latin,Latin-1 Supplement
0x1001d363	0x10026204	import	0x1001d340	KERNEL32.dll.SetEvent
0x1001d36c	0x100261d8	import	0x1001d340	KERNEL32.dll.GetLastError
0x1001d390	0x10026204	import	0x1001d340	KERNEL32.dll.SetEvent
0x1001d3c0	0x10026210	import	0x1001d340	KERNEL32.dll.WaitForSingleObject
0x1001d429	0x100261d0	import	0x1001d340	KERNEL32.dll.GetCurrentProcess
0x1001d446	0x10026210	import	0x1001d340	KERNEL32.dll.WaitForSingleObject
0x1001d518	0x100262d8	import	0x1001d4a0	USER32.dll.UnregisterClassW
0x1001d56c	0x100261d8	import	0x1001d540	KERNEL32.dll.GetLastError
0x1001d58d	0x10026210	import	0x1001d540	KERNEL32.dll.WaitForSingleObject
0x1001d5c8	0x10026210	import	0x1001d540	KERNEL32.dll.WaitForSingleObject
0x1001d605	0x10026288	import	0x1001d540	USER32.dll.InvalidateRgn
0x1001d60e	0x100261d8	import	0x1001d540	KERNEL32.dll.GetLastError
0x1001d62e	0x100261b8	import	0x1001d540	KERNEL32.dll.CreateThread
0x1001d634	0x100261d4	import	0x1001d540	KERNEL32.dll.GetCurrentProcessId
0x1001d798	0x100261d0	import	0x1001d750	KERNEL32.dll.GetCurrentProcess
0x1001d7a5	0x10026204	import	0x1001d750	KERNEL32.dll.SetEvent
0x1001d7bc	0x100261d0	import	0x1001d750	KERNEL32.dll.GetCurrentProcess
0x1001d809	0x100261d8	import	0x1001d7e0	KERNEL32.dll.GetLastError
0x1001d824	0x10026204	import	0x1001d7e0	KERNEL32.dll.SetEvent
0x1001d834	0x100261d0	import	0x1001d7e0	KERNEL32.dll.GetCurrentProcess
0x1001d884	0x100261d0	import	0x1001d7e0	KERNEL32.dll.GetCurrentProcess
0x1001d909	0x100262dc	import	0x1001d8a0	USER32.dll.UpdateWindow
0x1001d919	0x10026290	import	0x1001d8a0	USER32.dll.LoadCursorW
0x1001d9e3	0x100262a4	import	0x1001d9b0	USER32.dll.OffsetRect
0x1001db9b	0x10026204	import	0x1001db90	KERNEL32.dll.SetEvent
0x1001dba1	0x100261d0	import	0x1001db90	KERNEL32.dll.GetCurrentProcess
0x1001dba7	0x100261d8	import	0x1001db90	KERNEL32.dll.GetLastError
0x1001dbb2	0x10026210	import	0x1001db90	KERNEL32.dll.WaitForSingleObject
0x1001dbf2	0x10026204	import	0x1001db90	KERNEL32.dll.SetEvent
0x1001dc10	0x100261d8	import	0x1001db90	KERNEL32.dll.GetLastError
0x1001dc24	0x100261d4	import	0x1001db90	KERNEL32.dll.GetCurrentProcessId
0x1001dc8d	0x10026204	import	0x1001dc60	KERNEL32.dll.SetEvent
0x1001dc95	0x100261d8	import	0x1001dc60	KERNEL32.dll.GetLastError
0x1001dcb9	0x10026210	import	0x1001dc60	KERNEL32.dll.WaitForSingleObject
0x1001dcc1	0x100261d0	import	0x1001dc60	KERNEL32.dll.GetCurrentProcess
0x1001dd22	0x100261d4	import	0x1001dc60	KERNEL32.dll.GetCurrentProcessId
0x1001dd68	0x10026288	import	0x1001dc60	USER32.dll.InvalidateRgn
0x1001dd71	0x10026268	import	0x1001dc60	USER32.dll.GetSysColorBrush
0x1001df62	0x100262a0	import	0x1001def0	USER32.dll.MessageBeep
0x1001df73	0x10026200	import	0x1001def0	KERNEL32.dll.ResetEvent
0x1001dfe2	0x100262a0	import	0x1001dfb0	USER32.dll.MessageBeep
0x1001dfe9	0x10026264	import	0x1001dfb0	USER32.dll.GetSysColor
0x1001e029	0x100262b4	import	0x1001dfb0	USER32.dll.RemoveMenu
0x1001e0f9	0x100261d4	import	0x1001e0f0	KERNEL32.dll.GetCurrentProcessId
0x1001e13d	0x10026210	import	0x1001e0f0	KERNEL32.dll.WaitForSingleObject
0x1001e146	0x100261d0	import	0x1001e0f0	KERNEL32.dll.GetCurrentProcess
0x1001e195	0x100261d8	import	0x1001e0f0	KERNEL32.dll.GetLastError
0x1001e1b6	0x100261d0	import	0x1001e0f0	KERNEL32.dll.GetCurrentProcess
0x1001e1e6	0x100261d8	import	0x1001e1e0	KERNEL32.dll.GetLastError
0x1001e216	0x10026204	import	0x1001e1e0	KERNEL32.dll.SetEvent
0x1001e224	0x100261d4	import	0x1001e1e0	KERNEL32.dll.GetCurrentProcessId
0x1001e22c	0x100261d0	import	0x1001e1e0	KERNEL32.dll.GetCurrentProcess
0x1001e236	0x10026210	import	0x1001e1e0	KERNEL32.dll.WaitForSingleObject
0x1001e24b	0x100261d8	import	0x1001e1e0	KERNEL32.dll.GetLastError
0x1001e289	0x100261d4	import	0x1001e1e0	KERNEL32.dll.GetCurrentProcessId
0x1001e297	0x100261f4	import	0x1001e1e0	KERNEL32.dll.HeapCreate
